Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,$13.77,0.09,0.658%,1443020816.00,United States,2017,535320,Energy,Oil & Gas Production
BPT,BP Prudhoe Bay Royalty Trust Common Stock,$3.91,0.04,1.034%,83674000.00,United States,,99114,Energy,Integrated oil Companies
BRN,Barnwell Industries Inc. Common Stock,$2.57,-0.13,-4.815%,24274028.00,United States,,98035,Energy,Oil & Gas Production
BROG,Brooge Energy Limited Ordinary Shares,$9.10,-0.1499,-1.621%,997249471.00,United Kingdom,2018,2062,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.5701,-0.0254,-4.265%,0.00,United Kingdom,2018,17500,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$9.87,-0.02,-0.202%,794248987.00,United States,2018,415368,Energy,Oil & Gas Production
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,$12.17,0.18,1.501%,2539185188.00,United States,2015,344949,Energy,Oil & Gas Production
BTU,Peabody Energy Corporation Common Stock ,$14.15,0.14,0.999%,1696941792.00,United States,2017,7311438,Energy,Coal Mining
CCLP,CSI Compressco LP Common Units,$1.56,-0.0188,-1.191%,74835134.00,United States,2011,11324,Energy,Oilfield Services/Equipment
CDEV,Centennial Resource Development Inc. Class A Common Stock,$7.20,0.54,8.108%,2011617554.00,United States,2016,7254764,Energy,Oil & Gas Production
CEI,Camber Energy Inc. Common Stock,$1.44,-0.18,-11.111%,359371309.00,United States,,149399083,Energy,Oil & Gas Production
CELP,Cypress Environmental Partners L.P. Common Units representing limited partner interests,$1.7562,0.0062,0.354%,21669132.00,,2014,8517,Energy,Oilfield Services/Equipment
CEQP,Crestwood Equity Partners LP,$29.95,0.14,0.47%,1883913313.00,United States,,474197,Energy,Oilfield Services/Equipment
CHK,Chesapeake Energy Corporation Common Stock,$62.07,0.64,1.042%,6100634613.00,United States,,617200,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$29.63,1.37,4.848%,0.00,United States,,338,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$35.63,-0.10,-0.28%,0.00,United States,,100055,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$32.85,-0.45,-1.351%,0.00,United States,,100,Energy,Oil & Gas Production
CKX,CKX Lands Inc. Common Stock,$11.40,0.00,0.00%,22144443.00,United States,,222,Energy,Oil & Gas Production
CLB,Core Laboratories N.V. Common Stock,$28.23,-0.09,-0.318%,1307928873.00,Netherlands,1995,418094,Energy,Oilfield Services/Equipment
CLMT,Calumet Specialty Products Partners L.P. Common Units,$11.06,-0.10,-0.896%,870159458.00,United States,2006,109244,Energy,Oil & Gas Production
CLR,Continental Resources Inc. Common Stock,$51.35,1.57,3.154%,18873823905.00,United States,2007,1448169,Energy,Oil & Gas Production
CNX,CNX Resources Corporation Common Stock,$14.66,0.29,2.018%,3194722300.00,United States,1999,2508852,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$75.72,1.13,1.515%,101395295325.00,United States,,7168498,Energy,Integrated oil Companies
CPE,Callon Petroleum Company Common Stock,$51.02,0.79,1.573%,2812842293.00,United States,,1227456,Energy,Oil & Gas Production
CRC,California Resources Corporation Common Stock,$43.59,-0.35,-0.797%,3569125531.00,,2020,745901,Energy,Oil & Gas Production
CRK,Comstock Resources Inc. Common Stock,$9.76,0.29,3.062%,2272620656.00,United States,,1913112,Energy,Oil & Gas Production
CRT,Cross Timbers Royalty Trust Common Stock,$13.74,-0.29,-2.067%,82440000.00,United States,1992,43167,Energy,Oil & Gas Production
CTRA,Coterra Energy Inc. Common Stock,$21.29,0.51,2.454%,17322908710.00,United States,,6430851,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,$21.31,0.37,1.767%,2142307065.00,United States,2007,531094,Energy,Integrated oil Companies
CVX,Chevron Corporation Common Stock,$112.80,1.06,0.949%,218145267283.00,United States,,8672552,Energy,Integrated oil Companies
